TableName,ColumnName,DataType,IsHidden,FormatString,Description
"DONOR_MASTER","JOB_TIME","DateTime","False","General Date",""
"DONOR_MASTER","JOINT_SALUT","String","False","",""
"DONOR_MASTER","LARGEST_ANNL_DTE","String","False","",""
"DONOR_MASTER","LARGEST_ANNL_GIFT","Int64","False","0",""
"DONOR_MASTER","LARGEST_CAP_DTE","String","False","",""
"DONOR_MASTER","LARGEST_CAP_GIFT","Int64","False","0",""
"DONOR_MASTER","LARGEST_GIFT_AMT","Double","False","",""
"DONOR_MASTER","LARGEST_GIFT_DTE","DateTime","False","General Date",""
"DONOR_MASTER","LARGEST_PROM_AMT","Int64","False","0",""
"DONOR_MASTER","LARGEST_PROM_DTE","String","False","",""
"DONOR_MASTER","LAST_GIFT_AMT","Double","False","",""
"DONOR_MASTER","LAST_GIFT_COMP_1","String","False","",""
"DONOR_MASTER","LAST_GIFT_COMP_2","Int64","False","0",""
"DONOR_MASTER","LAST_GIFT_DTE","DateTime","False","General Date",""
"DONOR_MASTER","MATCH_GIFT_AMT","Int64","False","0",""
"DONOR_MASTER","MATCH_GIFT_NUM","Int64","False","0",""
"DONOR_MASTER","MATCH_PMT_AMT","Int64","False","0",""
"DONOR_MASTER","MATCH_PMT_NUM","Int64","False","0",""
"DONOR_MASTER","MAX_MATCH_DONOR","Int64","False","0",""
"DONOR_MASTER","MAX_MATCH_OVERRALL","Int64","False","0",""
"DONOR_MASTER","NON_CASH_AMT","Double","False","",""
"DONOR_MASTER","NON_CASH_NUM","Int64","False","0",""
"DONOR_MASTER","NUM_GIVING_YRS","Int64","False","0",""
"DONOR_MASTER","ORG_RESTR_AMT","Int64","False","0",""
"DONOR_MASTER","ORG_RESTR_NUM","Int64","False","0",""
"DONOR_MASTER","OTHER_SALUT_1","String","False","",""
"DONOR_MASTER","OTHER_SALUT_2","String","False","",""
"DONOR_MASTER","OTHER_SALUT_3","String","False","",""
"DONOR_MASTER","OTHER_SALUT_4","String","False","",""
"DONOR_MASTER","OTHER_SALUT_5","String","False","",""
"DONOR_MASTER","PROMISE_AMT","Double","False","",""
"DONOR_MASTER","PROMISE_NUM","Int64","False","0",""
"DONOR_MASTER","PROMISE_PMT_AMT","Double","False","",""
"DONOR_MASTER","PROMISE_PMT_NUM","Int64","False","0",""
"DONOR_MASTER","RECEIPT_SALUT","String","False","",""
"DONOR_MASTER","REMIND_DUE","String","False","",""
"DONOR_MASTER","REMIND_FORM_LTR","String","False","",""
"DONOR_MASTER","REMIND_PAST_DUE","String","False","",""
"DONOR_MASTER","SINGLE_SALUT","String","False","",""
"DONOR_MASTER","SMALLEST_GIFT_AMT","Double","False","",""
